Pair_key,A_hebrew,A_name,A_fsctf,A_role,A_zx,A_fractal,A_SY,A_SY_idx,A_SY_tag,A_hebrew_idx,A_Path32,B_hebrew,B_name,B_fsctf,B_role,B_zx,B_fractal,B_SY,B_SY_idx,B_SY_tag,B_hebrew_idx,B_Path32,Class_pair,Motif,Fractal_Interplay,ZX_Undirected
בד,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,Double-Double,composite,composed_attractors,Z-spider (copy/merge) ↔ controlled-phase
בה,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ X-rotation (actuation)
בו,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,Double-Simple,bound_network,composed_attractors,Z-spider (copy/merge) ↔ spider fusion / entangler
בז,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ Z-projector / split
בח,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ boundary / cup-cap shell
בט,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ Y-rotation (quadrature)
בי,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ phase-kick (tiny)
בכ,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Double,composite,composed_attractors,Z-spider (copy/merge) ↔ Z-phase / global bias
בל,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ normalization / ZX-NF
במ,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Double-Mother,composite,composed_attractors,Z-spider (copy/merge) ↔ trace/feedback loop
בנ,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ discard+reset / damping
בס,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ isometry + projector
בע,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ measurement (axis v)
בפ,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Double,composite,composed_attractors,Z-spider (copy/merge) ↔ oracle/eval box
בצ,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ postselect / path lock
בק,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Double-Simple,composite,composed_attractors,Z-spider (copy/merge) ↔ Hadamard-X macro
בר,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Double,composite,composed_attractors,Z-spider (copy/merge) ↔ Z-H conjugation
בש,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Double-Mother,composite,composed_attractors,Z-spider (copy/merge) ↔ chaotic mixer (macro)
בת,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Double,composite,composed_attractors,Z-spider (copy/merge) ↔ global close / terminal
גד,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,Double-Double,composite,composed_attractors,H / basis-bridge ↔ controlled-phase
גה,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ X-rotation (actuation)
גו,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,Double-Simple,network_fusion,transport_on_cluster,H / basis-bridge ↔ spider fusion / entangler
גז,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ Z-projector / split
גח,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ boundary / cup-cap shell
גט,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ Y-rotation (quadrature)
גי,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ phase-kick (tiny)
גכ,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Double,composite,composed_attractors,H / basis-bridge ↔ Z-phase / global bias
גל,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ normalization / ZX-NF
גמ,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Double-Mother,composite,composed_attractors,H / basis-bridge ↔ trace/feedback loop
גנ,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ discard+reset / damping
גס,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ isometry + projector
גע,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ measurement (axis v)
גפ,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Double,composite,composed_attractors,H / basis-bridge ↔ oracle/eval box
גצ,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ postselect / path lock
גק,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Double-Simple,composite,composed_attractors,H / basis-bridge ↔ Hadamard-X macro
גר,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Double,composite,composed_attractors,H / basis-bridge ↔ Z-H conjugation
גש,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Double-Mother,composite,composed_attractors,H / basis-bridge ↔ chaotic mixer (macro)
גת,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Double,composite,composed_attractors,H / basis-bridge ↔ global close / terminal
דה,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,Double-Simple,composite,composed_attractors,controlled-phase ↔ X-rotation (actuation)
דו,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,Double-Simple,conditional_entangle,composed_attractors,controlled-phase ↔ spider fusion / entangler
דז,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,Double-Simple,composite,composed_attractors,controlled-phase ↔ Z-projector / split
דח,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,Double-Simple,composite,composed_attractors,controlled-phase ↔ boundary / cup-cap shell
דט,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,Double-Simple,composite,composed_attractors,controlled-phase ↔ Y-rotation (quadrature)
די,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Double-Simple,initiated_selection,composed_attractors,controlled-phase ↔ phase-kick (tiny)
דכ,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Double,composite,composed_attractors,controlled-phase ↔ Z-phase / global bias
דל,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Double-Simple,composite,composed_attractors,controlled-phase ↔ normalization / ZX-NF
דמ,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Double-Mother,composite,composed_attractors,controlled-phase ↔ trace/feedback loop
דנ,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Double-Simple,composite,composed_attractors,controlled-phase ↔ discard+reset / damping
דס,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Double-Simple,composite,composed_attractors,controlled-phase ↔ isometry + projector
דע,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Double-Simple,composite,composed_attractors,controlled-phase ↔ measurement (axis v)
דפ,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Double,composite,composed_attractors,controlled-phase ↔ oracle/eval box
דצ,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Double-Simple,composite,composed_attractors,controlled-phase ↔ postselect / path lock
דק,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Double-Simple,composite,composed_attractors,controlled-phase ↔ Hadamard-X macro
דר,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Double,composite,composed_attractors,controlled-phase ↔ Z-H conjugation
דש,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Double-Mother,composite,composed_attractors,controlled-phase ↔ chaotic mixer (macro)
דת,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Double,composite,composed_attractors,controlled-phase ↔ global close / terminal
הו,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ spider fusion / entangler
הז,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ Z-projector / split
הח,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ boundary / cup-cap shell
הט,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ Y-rotation (quadrature)
הי,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Simple-Simple,micro_to_act,composed_attractors,X-rotation (actuation) ↔ phase-kick (tiny)
הכ,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Simple,composite,composed_attractors,X-rotation (actuation) ↔ Z-phase / global bias
הל,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ normalization / ZX-NF
המ,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Mother-Simple,composite,composed_attractors,X-rotation (actuation) ↔ trace/feedback loop
הנ,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ discard+reset / damping
הס,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ isometry + projector
הע,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ measurement (axis v)
הפ,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,X-rotation (actuation) ↔ oracle/eval box
הצ,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ postselect / path lock
הק,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Simple-Simple,composite,composed_attractors,X-rotation (actuation) ↔ Hadamard-X macro
הר,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Simple,composite,composed_attractors,X-rotation (actuation) ↔ Z-H conjugation
הש,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Simple,composite,composed_attractors,X-rotation (actuation) ↔ chaotic mixer (macro)
הת,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Simple,composite,composed_attractors,X-rotation (actuation) ↔ global close / terminal
וז,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,Simple-Simple,selective_entangle,composed_attractors,spider fusion / entangler ↔ Z-projector / split
וח,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,Simple-Simple,composite,composed_attractors,spider fusion / entangler ↔ boundary / cup-cap shell
וט,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,Simple-Simple,composite,composed_attractors,spider fusion / entangler ↔ Y-rotation (quadrature)
וי,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Simple-Simple,seeded_entangle,composed_attractors,spider fusion / entangler ↔ phase-kick (tiny)
וכ,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Simple,composite,composed_attractors,spider fusion / entangler ↔ Z-phase / global bias
ול,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Simple-Simple,composite,composed_attractors,spider fusion / entangler ↔ normalization / ZX-NF
ומ,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Mother-Simple,composite,composed_attractors,spider fusion / entangler ↔ trace/feedback loop
ונ,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Simple-Simple,composite,composed_attractors,spider fusion / entangler ↔ discard+reset / damping
וס,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Simple-Simple,composite,composed_attractors,spider fusion / entangler ↔ isometry + projector
